Country,Animal Products,Animal fats,Cereals Excluding Beer,Eggs,"Fish Seafood",Fruits Excluding Wine,Milk Excluding Butter,Vegetal Products,Vegetable Oils,Vegetables,Obesity
Afghanistan,21.6397,6.2224,8.0353,0.6859,0.0327,0.4246,8.2803,28.3684,17.0831,0.3593,4.5
Albania,32.0002,3.4172,2.6734,1.6448,0.1445,0.6418,17.7576,17.9998,9.2443,0.6503,22.3
Algeria,14.4175,0.8972,4.2035,1.2171,0.2008,0.5772,8.0934,35.5857,27.3606,0.5145,26.6
Angola,15.3041,1.313,6.5545,0.1539,1.4155,0.3488,1.2309,34.701,22.4638,0.1231,6.8
Antigua and Barbuda,27.7033,4.6686,3.2153,0.3872,1.5263,1.2177,6.6607,22.2995,14.4436,0.2469,19.1
Argentina,30.3572,3.3076,1.3316,1.5706,0.1664,0.2091,5.8512,19.6449,17.3147,0.1878,28.5
Armenia,29.6642,6.2619,2.5068,1.6196,0.2218,0.5468,10.4709,20.3384,12.8127,0.8717,20.9
Australia,24.1099,4.603,0.9908,0.7017,0.4515,0.4028,6.5196,25.8901,20.3612,0.2144,30.4
Austria,27.8268,12.8517,1.2297,1.2147,0.4259,0.2249,5.1497,22.1762,17.9323,0.2039,21.9
Azerbaijan,32.1198,7.7987,5.4481,2.0197,0.2122,0.594,9.9202,17.8802,7.1538,0.6534,19.9
Bahamas,30.2259,4.56,3.6327,1.2829,1.4991,0.8995,5.1318,19.7741,10.1659,0.3974,32.1
Bangladesh,9.8365,1.2369,6.9946,1.2664,2.1646,0.427,3.2249,40.1561,29.6422,0.3092,3.4
Barbados,25.8451,3.9733,2.1187,1.213,1.806,0.4636,5.6176,24.1576,15.6882,0.2534,24.8
Belarus,23.8181,7.8662,4.8075,1.5772,0.5151,0.2316,2.0644,26.1859,18.2119,0.3394,26.6
Belgium,26.7378,12.6234,1.3531,1.1703,0.6188,0.2373,6.5057,23.2622,19.3504,0.2982,24.5
Belize,23.7877,9.8102,3.051,0.6759,0.4155,0.3039,2.5053,26.2123,19.3538,0.2108,22.4
Benin,6.1742,0.4816,4.6952,0.2064,0.8599,0.1978,1.2469,43.8301,24.8775,0.3612,8.2
Bolivia,30.4177,4.1685,2.7296,1.5174,0.1831,0.5407,3.2703,19.5779,12.3485,0.1919,18.7
Bosnia and Herzegovina,24.6478,2.4453,3.6588,0.8354,0.3049,0.5976,11.2629,25.3552,13.2996,0.7866,19.4
Botswana,16.9634,4.131,7.183,0.2697,0.3622,0.1696,8.5241,33.0328,22.3815,0.185,16.1
Brazil,24.8515,4.3627,1.1278,0.7706,0.1886,0.2528,5.1654,25.1445,21.2153,0.1204,22.3
Bulgaria,27.1456,8.0274,1.8485,1.2201,0.3404,0.2723,7.9698,22.8518,17.5787,0.2461,27.4
Burkina Faso,7.2367,0.5981,10.5524,0.4061,0.3692,0.0443,2.1636,42.7706,19.1774,0.0665,4.5
Cabo Verde,21.9578,4.2923,5.1318,0.8468,0.5256,0.1898,6.2851,28.0385,18.6656,0.3066,10.6
Cambodia,18.851,0.8839,9.4179,0.5639,4.8461,0.2438,0.6248,31.149,11.2313,0.2591,3.5
Cameroon,6.3264,0.7838,6.9796,0.0746,0.9051,0.7931,1.1197,43.6689,23.2155,0.5505,9.5
Canada,23.1663,9.7895,1.544,1.2437,0.4244,0.4244,3.8812,26.8353,20.4733,0.222,31.3
Central African Republic,18.5453,2.8767,2.7645,0.1122,0.5509,0.4998,1.7342,31.4598,19.4838,0.0918,6.3
Chad,16.8564,3.1261,7.986,0.0701,0.648,0.0701,4.4308,33.1436,7.5131,0.0263,4.8
Chile,32.5206,5.2608,3.1847,1.4085,0.5204,0.4186,5.0798,17.4737,10.844,0.2602,28.8
China,31.0465,3.4468,2.5989,2.3066,0.9817,0.2344,2.2156,18.9535,10.659,0.5763,6.6
Colombia,21.4008,1.7819,1.7347,1.7819,0.3717,1.2273,5.9535,28.5992,23.0824,0.1829,22.1
Congo,12.9993,0.339,2.7016,0.1377,1.854,0.837,0.678,36.9954,26.0091,0.5827,8.4
Costa Rica,20.5571,6.1,1.6733,1.1492,0.9286,0.57,6.67,29.4475,24.8736,0.1701,25.7
Cote d'Ivoire,5.3253,0.2726,4.9709,0.4271,1.2268,0.5271,0.5634,44.6747,27.7354,0.3272,9
Croatia,29.3768,7.4457,2.9565,0.9476,0.5633,0.2577,8.7951,20.6254,11.7123,0.393,27.1
Cuba,25.9025,3.2213,4.4779,1.4788,0.2638,0.6179,4.7695,24.0975,14.5446,0.5554,26.7
Cyprus,20.9578,1.8698,3.4616,1.0044,0.7309,0.3632,6.6945,29.0467,19.7381,0.2601,22.6
Czechia,25.1685,9.7011,1.1998,0.8222,0.3,0.187,5.6463,24.8333,21.2267,0.1729,28.5
Denmark,35.4131,14.2498,1.4741,1.7484,1.1313,0.5257,8.8142,14.585,8.4752,0.2819,21.3
Djibouti,11.1065,1.3966,4.3977,0.2494,0.291,0.1247,3.8573,38.8977,31.449,0.4572,12.2
Dominica,26.925,3.8063,1.4913,0.3619,1.6536,1.1856,7.232,23.0812,12.3237,0.2309,28.2
Dominican Republic,15.2779,2.2261,1.4528,1.1248,0.2484,3.6133,4.1194,34.7221,25.8881,0.1218,26.9
Ecuador,20.9283,4.7198,3.6672,1.0246,0.2519,0.4367,6.0803,29.0745,23.5541,0.084,19.3
Egypt,15.9979,3.4231,13.4988,0.8448,1.32,0.7216,3.6343,34.0109,13.6132,0.66,31.1
El Salvador,23.3032,6.3901,8.1958,1.6034,0.4514,1.4321,8.1491,26.6968,10.2506,0.4514,22.7
Estonia,33.219,6.5339,2.8982,1.583,0.2818,0.3805,14.275,16.7833,8.4457,0.2865,23.8
Eswatini,20.8055,3.1415,12.0023,0.4718,0.3682,0.4718,5.4315,29.1945,10.9436,0.1956,13.5
Ethiopia,11.1691,1.4358,11.3929,0.2238,0.0559,0.4102,5.1091,38.8216,17.4156,0.1305,3.6
Fiji,20.0472,7.6883,1.5114,0.5773,1.4694,0.084,1.7948,29.9554,17.8168,0.1732,30
Finland,36.725,6.3787,1.7872,0.8524,0.9384,0.2901,11.8155,13.2732,8.8607,0.2041,24.9
France,30.2594,9.1996,1.4334,0.9894,0.8752,0.3869,7.9533,19.7406,15.4658,0.1776,23.2
Gabon,19.2656,0.7379,4.1074,0.1956,2.0359,0.6401,2.2937,30.7344,15.3805,0.2045,13.4
Gambia,6.0418,0.2548,4.9416,0.2113,1.3488,0.0373,2.8468,43.9582,25.9883,0.0746,8.7
Georgia,25.2749,7.2612,4.5695,1.1781,0.4284,0.2071,9.0818,24.718,14.8579,0.1999,23.3
Germany,28.1419,11.0084,1.1778,1.0462,0.7019,0.2632,6.4289,21.8581,16.8163,0.216,25.7
Ghana,7.6875,0.806,5.6789,0.3472,2.7774,1.2151,0.4216,42.3063,20.4464,0.248,9.7
Greece,17.9063,1.6989,1.328,0.7749,0.3245,0.2484,8.3355,32.097,25.5332,0.2848,27.4
Grenada,23.0842,2.4889,1.4883,1.444,1.2856,2.8436,4.8195,26.9158,16.8841,0.1077,20.2
Guatemala,15.4397,1.7622,9.3956,2.6186,0.1482,1.2516,3.7385,34.5603,17.8113,0.2553,18.8
Guinea,6.0747,0.7557,4.7086,0.3125,0.5014,0.3415,1.4896,43.9253,30.6133,0.7848,6.6
Guinea-Bissau,10.8323,0.6274,2.8828,0.1509,0.0715,0.2938,1.8027,39.1677,30.3288,0.0794,8.2
Guyana,22.7418,1.002,2.9072,0.334,1.169,1.503,7.6287,27.2582,9.0633,1.1538,19.2
Haiti,12.1462,1.7481,5.7517,0.1353,0.3722,1.6804,1.8608,37.8482,25.1494,0.1241,20.5
Honduras,16.7113,2.6611,8.3159,0.7448,0.1302,0.376,5.2281,33.2924,22.8722,0.1157,19.4
Hungary,28.9972,12.3082,1.2735,1.2018,0.1954,0.127,5.2308,21.0012,18.0699,0.2019,28.6
Iceland,34.4402,7.1086,4.3005,0.8991,1.6872,0.4975,11.0046,15.5628,7.4053,0.1678,23.1
India,16.0538,7.4859,5.1196,0.7653,0.3783,0.4046,6.4919,33.9462,21.7804,0.3958,3.8
Indonesia,9.1722,0.7049,6.6871,1.4549,2.5122,0.7139,0.7049,40.8368,24.0918,0.2711,6.9
Iran (Islamic Republic of),16.9273,6.0372,5.5867,1.3259,0.6114,0.6243,2.6389,33.0759,20.2935,0.5278,25.5
Iraq,11.1327,3.8118,6.2761,1.9023,0.1441,0.2306,1.7366,38.8673,29.6152,0.1513,27.4
Ireland,27.1689,8.6472,2.7091,0.9231,0.9372,0.2829,6.5464,22.8329,16.1839,0.2405,26.9
Israel,15.8138,1.2809,1.6083,0.87,0.5746,1.6051,4.8443,34.1862,25.1782,0.2857,26.7
Italy,21.8727,5.3931,1.3598,1.0529,0.7327,0.2541,5.9146,28.1306,24.127,0.2277,22.9
